code,MARKET_CAP,EP,BP,DIVIDEND_YIELD,ROE,ROE_STABILITY,PROFIT_GROWTH,OCF_TO_REVENUE,MOMENTUM_20,MOMENTUM_60,VOLATILITY_20,TURNOVER_STABILITY,VOLUME_PRICE_DIVERGENCE,INDUSTRY,LIST_DATE
300896.SZ,74737234800.0,0.024866792403928095,0.08493680949389137,0.007697570988710229,30.09,0.1234976039745364,47.08,0.018837145265055113,0.07319366523535975,0.14968342287029945,0.3206063855125309,2.64039985099806,-0.6902998834899771,美容护理,2010-01-01
600795.SH,90069876364.1,0.03783931246038884,0.5413827506641927,0.020128205128205127,11.83,0.26792564851083134,98.8,0.2553418803418804,0.06122448979591821,0.2283464566929132,0.31772070855052786,4.208864526922745,-0.242066055308576,公用事业,2010-01-01
601012.SH,147847633464.95,0.10503530458736851,0.47308525720155215,0.02202688728024819,16.2,0.14768008245283065,-27.41,0.027662874870734232,-0.09456928838951306,-0.14348981399468552,0.3235203522747106,3.1709899658336154,-0.3416130299045827,电力设备,2010-01-01
603816.SH,30303140305.53,0.06303099297901237,0.3170771775045284,0.02145369284876905,21.87,0.1586408538681823,10.7,0.04352286049237984,-0.0138728323699423,0.07464566929133842,0.18058432867312899,4.609574473517247,-0.4337054942867151,轻工制造,2010-01-01
600784.SH,3601226636.41,0.10173795861874459,0.8038352006331263,0.02248270561106841,9.54,0.2942837346950425,-18.85,0.07398155265180631,0.029679461812425645,-0.1317984651317985,0.24223298099081747,6.672350057444171,-0.566118174750669,综合,2010-01-01
600958.SH,70097323659.0,0.03928474316826619,1.052044892270498,0.011526639344262296,3.45,0.7827291685535946,-8.53,0.16201331967213115,-0.06803533062783484,-0.04640937957987312,0.20664206232512672,4.295924878496421,-0.4919654851759067,非银金融,2010-01-01
600941.SH,2262931143878.72,0.0582280200449237,0.5773184934615274,0.019169726769154165,10.23,0.3368946149120476,5.03,0.07364992427542996,0.01848877995182363,0.09259679028017054,0.26759496689787565,3.8668303324508004,-0.10544242907330661,通信,2010-01-01
000877.SZ,59171177819.62,0.03321112239200317,1.4220973911452708,0.010131030375223348,2.41,0.462302972957118,-56.74,0.14592019058963668,0.01665152891310928,0.007500750075007501,0.34110184973564667,0.9854505802703053,-0.7819253303027882,建筑材料,2010-01-01
600323.SH,13436920966.08,0.10758442955725775,0.9019139615388352,0.035117056856187295,12.44,0.27224236275926184,25.23,0.10167224080267559,0.03963838664812225,-0.04716379859783304,0.22731721353985732,3.4189905280784014,-0.5393413207448782,环保,2010-01-01
603808.SH,2989652311.8,0.025158595711673885,0.9688001214797848,0.011133862298438699,3.74,0.7637452760387876,416.56,0.08318402866649603,0.03992547245142397,-0.10737948366461036,0.26699553043055785,4.2270680611616305,-0.4009068959516308,纺织服饰,2010-01-01
